source_url,target_url,status_code
https://enricbaltasar.com/abreviaturas-esperanto/,https://enricbaltasar.com/esperanto/vocabulario/abreviaturas/,301
https://enricbaltasar.com/abreviaturas-participios-esperanto/,https://enricbaltasar.com/esperanto/gramatica/gerundios-participios/abreviaturas-participios/,301
https://enricbaltasar.com/actividades-diarias-esperanto/,https://enricbaltasar.com/esperanto/vocabulario/actividades-diarias/,301
https://enricbaltasar.com/acusativo-cantidad-tiempo-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/cantidad-tiempo/,301
https://enricbaltasar.com/acusativo-complemento-directo-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/complemento-directo/,301
https://enricbaltasar.com/acusativo-direccion-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/direccion/,301
https://enricbaltasar.com/acusativo-eliptico-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/eliptico/,301
https://enricbaltasar.com/acusativo-esperanto-nombres-propios/,https://enricbaltasar.com/esperanto/gramatica/acusativo/nombres-propios/,301
https://enricbaltasar.com/acusativo-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/,301
https://enricbaltasar.com/acusativo-kiel-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/kiel/,301
https://enricbaltasar.com/acusativo-locucion-prepositiva-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/locucion-prepositiva/,301
https://enricbaltasar.com/acusativo-predicativo-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/predicativo/,301
https://enricbaltasar.com/acusativo-verbos-esperanto/,https://enricbaltasar.com/esperanto/gramatica/acusativo/verbos/,301
https://enricbaltasar.com/adjetivos-esperanto/,https://enricbaltasar.com/esperanto/gramatica/terminaciones/adjetivos/,301
https://enricbaltasar.com/adverbios-esperanto/,https://enricbaltasar.com/esperanto/gramatica/terminaciones/adverbios/,301
https://enricbaltasar.com/adverbios-frecuencia-esperanto/,https://enricbaltasar.com/esperanto/vocabulario/adverbios-frecuencia/,301
https://enricbaltasar.com/afijo-familia-esperanto-bo/,https://enricbaltasar.com/esperanto/gramatica/afijos/familia-bo/,301
https://enricbaltasar.com/afijos-carinosos-esperanto-cj-nj/,https://enricbaltasar.com/esperanto/gramatica/afijos/carinosos-cj-nj/,301
